municipality_clean,permit_count,simpson_index,shannon_index,foreign_born_pct,mean_income_sek,rental_share,owner_share,total_population,total_dwellings,permits_per_1000_pop,permits_per_1000_dwellings
Mora,22,0.166172426268562,0.3058778965084283,0.0914491624464355,229913.7855473316,0.3044734389561975,0.6951537744641193,20536.0,10730.0,1.0712894429294897,2.050326188257223
Motala,13,0.2580575429853496,0.4264905321151497,0.152190815953165,231790.5369557263,0.4430639930571415,0.5569360069428585,43728.0,21893.0,0.2972923527259422,0.5937971040972
Mullsjö,4,0.2117534102261262,0.3676501267073847,0.1203642602613171,236673.8550877656,0.2921642877949315,0.7075444217885232,7577.0,3433.0,0.5279134221987595,1.1651616661811826
Munkedal,6,0.2139088342251902,0.3704690774407703,0.1217863264140163,229150.57131974865,0.293854531310774,0.706145468689226,10502.0,5142.0,0.5713197486193106,1.1668611435239205
Munkfors,1,0.2665557137095764,0.4369299524703838,0.1583537748705369,196275.4701553557,0.3020316027088036,0.6979683972911964,3669.0,2215.0,0.2725538293813028,0.45146726862302483
Mölndal,25,0.314518105652346,0.4940523783632523,0.1954660163892591,347897.3728981768,0.3295553347410259,0.6704446652589741,70534.0,32204.0,0.35443899396035955,0.7763010806111043
Mönsterås,4,0.2347613959809245,0.3973221401737093,0.1358306684939851,223676.3590680676,0.320723436322532,0.6791258477769405,13134.0,6635.0,0.30455306837216384,0.6028636021100225
Mörbylånga,12,0.1543932822511176,0.289156836722512,0.0843037661050545,236221.95242814667,0.2133152173913043,0.7865489130434783,16144.0,7360.0,0.7433102081268582,1.6304347826086956
Nacka,36,0.3201561582112906,0.5005828107874644,0.2001301600788191,417792.7923856354,0.1867345650435587,0.8132654349564412,110633.0,47522.0,0.3254001970478971,0.7575438744160599
Nora,4,0.229046164124258,0.390035592999631,0.1319281076503246,230343.3612496472,0.3861236802413273,0.6138763197586727,10627.0,5304.0,0.37639973652018444,0.7541478129713424
Nordanstig,5,0.1654956154488369,0.3049264213074958,0.0910352187833511,200154.5144076841,0.2905447714464621,0.7075767063243582,9370.0,4791.0,0.5336179295624334,1.0436234606553956
Nordmaling,4,0.1758232285088381,0.3193278453937093,0.0973979809469643,216147.0354045216,0.2977077363896848,0.7022922636103152,7033.0,3490.0,0.5687473339968719,1.146131805157593
Norrköping,61,0.3331936910155775,0.5155474612311953,0.2112039569311739,258851.36088397185,0.5003543489519449,0.4995366206013029,145163.0,73374.0,0.4202172729965625,0.8313571564859487
Norrtälje,76,0.2372453689442446,0.4004724542544676,0.1375399118138969,230334.0124676904,0.2359494707292824,0.763904321890169,65770.0,34198.0,1.1555420404439714,2.2223521843382654
Norsjö,1,0.1931545178992082,0.3429627973449332,0.1083078491335372,207498.47094801223,0.3351377952755905,0.6648622047244095,3924.0,2032.0,0.25484199796126406,0.4921259842519685
Nybro,4,0.3105263262296476,0.4894066452390342,0.1922065028543062,207557.2598659717,0.3735070575461455,0.6264929424538545,20145.0,10131.0,0.198560436832961,0.3948277563912743
Nykvarn,3,0.2575316270973293,0.425841073225604,0.1518130007433716,347228.35549682,0.309610705596107,0.690389294403893,12107.0,4932.0,0.24779053440158588,0.6082725060827251
Nyköping,19,0.2771358486555426,0.4497860749525667,0.1661855670103093,247558.65979381444,0.3835876568328247,0.61539504916921,58200.0,29490.0,0.32646048109965636,0.6442861987114277
Nynäshamn,10,0.331558430036236,0.5136807232945793,0.2097918247500907,256245.41585563,0.3690993339125398,0.6308282652765711,30311.0,13812.0,0.32991323281976837,0.7240081088908196
Nässjö,5,0.3227723563054827,0.503600842333805,0.2023192618806875,235643.9237866532,0.3889607032057911,0.6110392967942089,31648.0,15472.0,0.15798786653185035,0.3231644260599793
Ockelbo,1,0.2130554333334016,0.3693539722362783,0.1212226467523445,197232.3723515109,0.3507392261717521,0.647373387857817,5758.0,3179.0,0.1736714136853074,0.31456432840515886
Olofström,9,0.3702664828204978,0.5571242734722165,0.2453104662736391,215067.06224638235,0.3751600512163892,0.6248399487836107,13061.0,7029.0,0.6890743434652783,1.2804097311139564
Orsa,6,0.209666527970055,0.3649127450139675,0.1189924724956572,209872.3943254198,0.3255443441317047,0.6744556558682953,6908.0,3766.0,0.8685581933989577,1.5932023366967605
Orust,11,0.1714601087705796,0.3132739409393739,0.0946977108198004,228370.40370442835,0.2110614070760471,0.7889385929239529,15333.0,7377.0,0.7174069001500032,1.491121051918124
Osby,10,0.2945079467891069,0.4705733504887689,0.1794597894094308,220779.154585686,0.3223583460949464,0.6776416539050536,13106.0,6530.0,0.7630093087135662,1.5313935681470139
Oskarshamn,12,0.2589006877877911,0.4275309020807655,0.1527973846496768,251861.2043985437,0.370075349838536,0.6299246501614639,26918.0,13935.0,0.44579835054610295,0.8611410118406889
Ovanåker,9,0.1550276763237514,0.2900663480353847,0.0846854663774403,199210.8546637744,0.3720775990714641,0.627756590946775,11525.0,6031.0,0.7809110629067245,1.492289835848118
Oxelösund,7,0.3368156017298489,0.5196718175641437,0.2143565174293738,221368.3049727408,0.3270518610808285,0.6729481389191715,12106.0,6421.0,0.578225673219891,1.0901728702694284
Partille,8,0.3375513994568435,0.5205079742644172,0.2150012275963663,339571.7309108765,0.3646357151210385,0.6353642848789616,40730.0,17102.0,0.1964154186103609,0.4677815460180096
Perstorp,2,0.3854571510945677,0.5737727199765658,0.2606855114024307,202278.95671173016,0.3695411829740188,0.6304588170259812,7323.0,3618.0,0.27311211252219036,0.5527915975677169
Piteå,19,0.1344091517626324,0.259941392035546,0.0724541847723408,262411.770262611,0.4198241333271948,0.5800377514847382,42344.0,21721.0,0.44870583789911206,0.874729524423369
Ragunda,6,0.2030924720947275,0.3562365478290739,0.1147030185004868,196793.47614410907,0.2996539792387543,0.7003460207612456,5135.0,2890.0,1.1684518013631937,2.0761245674740487
Robertsfors,6,0.1814227474046614,0.3270345686126337,0.1008902077151335,217636.17210682493,0.2260488415779586,0.7730118973074515,6740.0,3194.0,0.8902077151335311,1.878522229179712
Ronneby,7,0.2847591174983545,0.4589560347548771,0.1719444540160573,215295.72378622377,0.3616419919246298,0.6382234185733513,29021.0,14860.0,0.2412046449123049,0.47106325706594887
Rättvik,11,0.1433310190289232,0.2731239173326017,0.0777033146169172,198224.21662742252,0.2686541737649062,0.7308347529812607,11042.0,5870.0,0.9961963412425285,1.8739352640545146
Sala,5,0.2476588075567605,0.4135732049585611,0.1447949940926793,223155.4369229423,0.3790768134022456,0.6209231865977544,22853.0,11222.0,0.21878965562508204,0.4455533772945999
Salem,4,0.3599151225435195,0.54565416171403,0.2353446793880007,322011.50077359466,0.2367410777761979,0.7632589222238021,17451.0,7033.0,0.2292132256031173,0.5687473339968719
Sandviken,11,0.2956954233319777,0.4719802358738661,0.1803872838355597,234888.42549446,0.3589987484355444,0.6408510638297872,38628.0,19975.0,0.2847675261468365,0.5506883604505632
Sigtuna,15,0.4728832467370069,0.6657798441115883,0.383559557577719,285859.1882579147,0.4194484760522496,0.5805515239477503,52529.0,21359.0,0.2855565497153953,0.7022800692916336
Simrishamn,14,0.2233782538514206,0.3827556018808332,0.1280983018668916,185798.69212108428,0.3166380461743941,0.6833619538256058,18962.0,10482.0,0.7383187427486552,1.3356229727151308
Sjöbo,8,0.2039258287432157,0.3573408947654801,0.1152441220352935,237907.93846787047,0.2066909572706194,0.7933090427293806,19437.0,9057.0,0.41158615012604827,0.8832946891906812
Skara,11,0.2779921572706214,0.4508199510819752,0.166827490082556,241061.25227833173,0.3842863105175292,0.6157136894824707,18654.0,9584.0,0.5896858582609628,1.147746243739566
Skellefteå,30,0.2292569156565067,0.3903052448522817,0.1320712811267017,265282.3364949962,0.3502725149234363,0.6496236698676356,76542.0,38530.0,0.3919416790781532,0.7786140669608098
Skinnskatteberg,4,0.2941270251673833,0.470121674444022,0.1791628334866605,190303.77184912603,0.3042424242424242,0.6957575757575758,4348.0,2475.0,0.9199632014719411,1.6161616161616161
Skurup,12,0.2466137992738846,0.4122661133659894,0.1440602573987308,258335.8875511536,0.3520124239679048,0.6479875760320952,16861.0,7727.0,0.7117015598125853,1.5529959880936974
Skövde,19,0.2789496058992173,0.4519747828499678,0.1675466994442809,275593.0474525215,0.4455381909207767,0.5544618090792234,57763.0,29562.0,0.32893028409189273,0.6427170015560517
Smedjebacken,4,0.1839026253382329,0.3304257369885403,0.1024466232933199,222776.8166407037,0.2702702702702702,0.7297297297297297,10913.0,5476.0,0.36653532484193163,0.7304601899196493
Sollefteå,11,0.2135944547189703,0.3700584432407689,0.1215785779841278,200488.8786913567,0.3223048327137546,0.6776951672862453,18523.0,10760.0,0.5938562867785996,1.0223048327137547
Sollentuna,12,0.4134971347807668,0.6039595068888499,0.2920302122672223,394562.1317879933,0.2783908115096665,0.7200757689647915,76790.0,33259.0,0.15627034770152362,0.36080459424516675
Solna,27,0.4487937066406062,0.6410289554459853,0.3399901669281015,370539.65537424205,0.3560395866558888,0.6439604133441111,85426.0,45773.0,0.3160630253084541,0.5898673890721604
Sorsele,1,0.2315615111809552,0.3932491135329102,0.1336405529953917,203744.15584415584,0.3149492017416546,0.6850507982583455,2387.0,1378.0,0.41893590280687054,0.7256894049346879
Sotenäs,18,0.1941225724048552,0.3442644020822719,0.1089262041537781,229130.1811754309,0.2987060324403134,0.7012939675596865,9052.0,5487.0,1.988510826336721,3.2804811372334606
